Dorm,dormNum,Rape,Attempted Rape,Domestic Violence,Burglary,Larceny - Bicycles,Larceny from residence,Larceny from building open to the public,Larceny of all others,Assaults Minor Injury,Assaults No Injury,Assaults minor injury domestic violence,Assaults no injury domestic violence,Fraud,Criminal Damage/ Malicious Mischief,Criminal Damage - Intentional vandalism,Sex Offenses Lewd and Lasivicous Act,Narcotics Drug Possession,Narcotic Drug Sale,Narcotic Drug Laws Possession of Paraphernalia,Furnishing Liquor to Minor,MIP,Liquor Laws Other,Disorderly Conduct Disturbing the Peace,Disorderly Conduct - Trespassing,Vagrancy,Other Offenses - Phone Calls,Other Felonies,Misdemeanors,Other Misdemeanors DV,Mental Cases/Transported to Treatment Facility,Sick/Transported to Medical Facility,Sick Cared for Attempted Suicide,Sick cared for other,Public Hazard,Fire not arson,Total
apache,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
azso,910,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,8,2,0,10,0,0,3,0,0,0,2,0,0,3,0,2,0,0,35
babcock,1717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
cochise,1018,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16
coconino,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5
laPaz,602,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,3,0,1,7,0,0,0,0,1,0,1,0,1,8,1,0,0,0,0,30
coronado,822,1,0,0,1,1,7,1,2,0,0,0,0,0,0,2,0,21,0,2,0,44,1,2,4,1,2,0,2,0,0,6,0,4,1,1,106
gila,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,7
greenlee,610,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,13
hopi,1440,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
kaibab,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,12
likins,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maricopa,1031,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
navajo,1557,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
parker,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
pima,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,7
sanPedro,601,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,10
cienega,621,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,7
skyview,1050,0,1,0,0,0,1,0,1,4,0,1,0,0,0,3,1,5,0,2,0,3,0,0,1,0,0,0,1,0,0,2,0,0,0,0,26
delPuente,575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,2,1,0,0,0,15
yavapai,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,5
yuma,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
total,0,3,1,0,1,2,30,2,5,6,4,3,1,0,0,12,1,62,8,11,9,75,1,3,12,2,3,2,11,2,9,28,2,16,3,1,322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm,apache,azso,babcock,cochise,coconino,laPaz,coronado,gila,greenlee,hopi,kaibab,likins,maricopa,navajo,parker,pima,sanPedro,cienega,skyview,delPuente,yavapai,yuma,total,,,,,,,,,,,,,,
